,adult,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
6868,True,0,,en,0.624,Combat Zone,United States of America,2010-10-01,0,119,Oh! Me So Horny!,5.0,1
6869,False,0,,en,0.6,,,2010-01-01,0,26,13 x Glück,0.0,0
6870,True,0,,en,0.636,DDF Films,United States of America,2015-08-06,0,122,Secret Diary of a Secretary #2,5.0,1
6871,False,0,,en,1.091,,,1961-01-01,0,12,Bau 60,0.0,0
6872,False,0,Documentary,fr,0.6,,,2008-09-01,0,,9.3 - Mémoire d'un territoire,0.0,0
6873,False,0,,en,0.6,,,1911-12-05,0,14,A Frontier Girl's Courage,0.0,0
6874,False,0,Animation,ja,1.4,,Japan,1973-01-01,0,2,Tabi wa Michizure Yo wa Nasake,0.0,0
6875,False,0,Drama,en,0.627,Bluebird Photoplays,United States of America,1918-01-01,0,60,The Bride's Awakening,0.0,0
6876,False,0,Animation,ja,1.09,,Japan,1975-01-01,0,2,Urameshi Denwa,0.0,0
6877,False,0,Animation,ja,1.34,,Japan,1980-01-01,0,13,Wasurerareta Ningyou,0.0,0
6878,False,0,Animation,ja,1.4,,Japan,1966-01-01,0,15,"Welcome, Aliens",0.0,0
6879,False,0,Animation,ja,1.4,,Japan,1978-01-01,0,2,Yuki no Hi no Tayori,0.0,0
6880,False,0,Documentary,fr,0.6,,,2011-10-25,0,,Baba de Barcelone,0.0,0
6881,True,0,,en,0.6,Desperate Pleasures,United States of America,2015-10-08,0,139,Daddy's Anal Princess,9.0,1
6882,False,0,"Science Fiction, Drama, Thriller, Horror",es,3.011,"ZDF/Arte, Adomeit Film, Bord Cadre Films, CNC Aide aux cinémas du monde - Institut Français, Fondo para la Producción Cinematográfica de Calidad (FOPROCINE), Le Pacte, Mantarraya Producciones, Mer Film, Pimienta Films, Secretaria de Turismo del Estado de Guanajuato (SECTUR), Sørfond, Tres Tunas, Centre National de la Cinématographie, Match Factory Productions, Instituto Mexicano de Cinematografía, Snowglobe","Denmark, France, Germany, Mexico, Norway, Switzerland",2016-05-15,0,98,The Untamed,6.1,60
6883,False,0,,es,0.6,,,,0,,Eyes of Land and Sea,0.0,0
6884,False,0,"Thriller, Drama",es,1.975,"Zamora Films, Alameda Films, Velarium Arts, Alebrije Producciones",Mexico,2016-09-16,0,94,7:19,6.3,13
